nom;code_postal;longitude;latitude
laigny;2140;762616;6972701
lanchy;2590;705760;6970133
landifay-et-bertaignemont;2120;743209;6969181
landouzy-la-cour;2140;770532;6972794
landouzy-la-ville;2140;775541;6975085
landricourt;2380;726812;6933468
laniscourt;2000;739818;6939107
laon;2000;744868;6941370
lappion;2150;770127;6947189
largny-sur-automne;2600;703639;6907818
latilly;2210;723347;6894516
launoy;2210;729116;6907891
laval-en-laonnois;2860;743480;6933570
lavaqueresse;2450;751000;6983717
laversine;2600;712355;6916730
lemé;2140;755440;6970400
lempire;2420;712204;6986841
lerzy;2260;762518;6981606
leschelles;2170;755288;6985984
lesdins;2100;723728;6977972
lesges;2220;736374;6911269
lesquielles-st-germain;2120;744553;6981436
leuilly-sous-coucy;2380;723923;6931230
leury;2880;723946;6925667
leuze;2500;782767;6972959
levergies;2420;722995;6981308
lhuys;2220;740027;6909069
licy-clignon;2810;719718;6888941
lierval;2860;744946;6931356
liez;2700;720219;6953471
limé;2220;739996;6913518
lislet;2340;773655;6953911
lizy;2320;734046;6935732
logny-lès-aubenton;2500;786399;6970786
lombray;2300;708692;6935637
longchamps;2120;740968;6980296
longpont;2600;716014;6907839
lor;2190;776044;6937249
louâtre;2600;718204;6905621
loupeigne;2130;738594;6905722
lucy-le-bocage;2400;720468;6883383
lugny;2140;759098;6964871
luzoir;2500;769703;6981690
ly-fontaine;2440;721647;6957928
maast-et-violaine;2220;732749;6909023
mâchecourt;2350;760682;6951532
macogny;2470;716774;6896718
macquigny;2120;739562;6975833
magny-la-fosse;2420;720121;6981297
maissemy;2490;714386;6975714
maizy;2160;753023;6920299
la malmaison;2190;770988;6936071
malzy;2120;752488;6978165
manicamp;2300;712302;6941207
marchais;2350;759329;6942615
marchais-en-brie;2540;735203;6864549
marcy;2720;728800;6970203
marcy-sous-marle;2250;752663;6959243
marest-dampcourt;2300;710848;6944543
mareuil-en-dôle;2130;740050;6905731
marfontaine;2140;756193;6967068
margival;2880;729026;6925690
